,0,1
0,-0.4312098345001031,0.04219402842219799
1,-0.11363028043221979,3.485508101963622
2,0.25912959093711874,6.9237269585747345
3,0.8418500757747227,10.341397429916483
4,1.8482376570509709,13.7159893495208
5,2.5679443902288535,17.118738084146283
6,3.0652195982150094,20.545116677802653
7,3.6265491280897377,23.96718301336808
8,4.150907559912176,27.395419124095287
9,4.675959148357079,30.8245916866978
10,5.07907812881556,34.264712278375
11,5.439272315445596,37.70788859526487
12,5.721805524406646,41.15673684695408
13,6.064623032652533,44.599371300687146
14,6.333530366138055,48.04711785559805
15,6.671386086361698,51.487904156442
16,7.06535430410089,54.9229738206771
17,7.395791814940415,58.364514768065995
18,7.733998918230372,61.80731301898633
19,8.072019054199977,65.25217968494091
20,8.299842159411169,67.97513515232606
21,8.4541453007898,70.12394091366134
22,8.609835274784928,72.74919784760073
23,8.77430064277222,76.3595469032663
24,8.889809389601727,79.88736332462153
25,9.00467718168921,83.18009331028537
26,9.211545827723372,86.51009299551674
27,9.53428436872497,89.96690395233617
28,9.971828748750664,93.3484532196543
29,10.526222014102888,96.51824261736412
30,11.225682735335454,99.48665292918831
31,12.221177898774112,102.5830242091551
32,13.546925784467264,105.44277409748729
33,15.647333323115507,107.8492743850109
34,18.176511981263545,109.8378791027537
35,20.895793931142514,111.50441044391859
36,23.712672717941356,112.92154491881467
37,26.74055259562247,114.20227883426999
38,29.882359986742124,115.3335650398939
39,33.13329843654758,116.33751548426164
40,36.50023135226035,117.23309548122435
41,39.907343990457775,118.01442390572348
42,43.322089992228314,118.68927890252101
43,46.74396457678465,119.26693920764876
44,50.18603370171381,119.76220739591528
45,53.63784769718621,120.26144367869495
46,57.08301465642742,120.78918490124475
47,60.074949368053524,121.30404519556069
48,61.8807647217551,121.65319829778578
49,65.58621063941202,122.44917424883025
50,69.01739334868144,123.27577903966386
51,72.37923645210208,124.18786518261491
52,75.68982026534358,125.18695761672156
53,79.01722294960524,126.11256661822719
54,82.35172717575338,127.05099027079982
55,85.64163809411238,127.74012972790906
56,88.02107192518315,127.9899420397201
57,90.2086225275709,127.78519044951733
58,91.9209432298178,126.26402550621977
59,93.4616600177966,123.10379273067477
60,94.32906206186311,119.71450968707714
61,94.78524420646104,116.28025310538855
62,94.94982303150798,112.82669411108962
63,94.8357650457682,109.39298890804857
64,94.52341787096708,107.53722621527389
65,93.00972569876231,104.98449780328477
66,90.53420072694699,102.33117495359724
67,87.82401449653577,100.09235762499802
68,84.96205110784305,98.12692551559252
69,81.98649227262021,96.36354264018627
70,78.98351103163951,94.64283489595246
71,76.03984880952972,92.83365778312947
72,73.18300126281214,90.94723666471295
73,70.38745327168188,89.05685245559854
74,67.5779304969691,87.16197039552038
75,64.73297735046717,85.18816013839646
76,61.92590854321587,83.13688398071892
77,59.098663799000654,81.1164676630842
78,56.30344665428285,79.0587325756452
79,53.52779906892613,76.97848684925788
80,50.79494317578251,74.8500904147482
81,48.10907655052985,72.66863194210141
82,45.472218975411316,70.43084942113558
83,42.89232245900573,68.1276310123628
84,40.37772328578952,65.74986950413467
85,37.93793920884667,63.28787967776774
86,35.58796559919692,60.7241539425026
87,33.362071897886175,58.03752164145242
88,31.808123959851294,55.886877445179294
89,29.855553598248328,52.52091280357996
90,28.63329337526545,49.94097455125051
91,27.650229428191608,47.47627697293874
92,26.370064359374624,43.68978531732735
93,25.464728098977293,40.533512191649905
94,24.637455686861394,37.153047616281256
95,23.931364559440702,33.7555678727352
96,23.33068082778315,30.343420632204932
97,22.822862190335478,26.915574922491047
98,22.40231440554393,23.478230417022022
99,21.901912538153137,20.050290605562147
100,21.475087624507506,16.616908958580655
101,21.066233632143323,13.18361272157193
102,20.721392676641997,9.743818345114672
103,20.32565202837604,6.30867479266449
104,19.906208935867607,2.875431114112363
105,19.54551265251175,-0.5641425923887331
106,19.23202474267517,-4.008453865922055
107,18.915993753742157,-7.452421685208075
108,18.648420239656197,-10.901152669381085
109,18.32946020652892,-14.344664150193791
110,17.915881887749293,-17.77867217401063
111,17.60936034488836,-21.223297318610953
112,17.151612023156357,-24.65275924416035
113,16.54138993379237,-28.051208936993298
114,15.799883852285857,-30.890470383258144
115,14.967048247187481,-32.97496235291128
116,13.309649299732973,-35.15668462176565
117,10.879391450088578,-34.98190951996811
118,8.257448136147756,-34.00337055622459
119,5.949382906543058,-32.254902056926554
120,4.203361134162792,-29.848149002255386
121,2.8022142263264214,-27.08855493864328
122,1.6344889296956524,-24.02073382373974
123,0.6693376256369757,-20.710540924010214
124,-0.1039479042121223,-17.273259385853315
125,-0.7011891792397216,-13.822246467919825
126,-1.25425163099105,-10.357916957176691
127,-1.6813184189946142,-6.8568224526097925
128,-1.9954334876859767,-3.2983044896604854
129,-2.1895428754594946,0.21424751229493802
